Object,Distance [Mpc],Sta. Desv. [Mpc],Method,"Velocity, cz [km s-1]",Uncert. [km s-1],z reference
SDSS-II SN 16111              ,824,N/A,SNIa,64455.38,N/A,2011ApJ...738..162S
SDSS-II SN 03957              ,547,N/A,SNIa,41071.57,N/A,2011ApJ...738..162S
2MASX J23024668+0848186       ,170,N/A,SNIa,11991.7,N/A,2011CBET.2931A...1B
SDSS-II SN 15080              ,969,N/A,SNIa,77646.25,N/A,2011ApJ...738..162S
UGC 11750                     ,148,N/A,Tully-Fisher,12727.09,33.88,2012ApJS..199...26H
SDSS-II SN 05363              ,887,N/A,SNIa,70151.44,N/A,2011ApJ...738..162S
SDSS J215420.48+000703.7      ,948.5,3.54,SNIa,66374.05,149.9,2011ApJ...738..162S
SDSS-II SN 13011              ,779,N/A,SNIa,60558.08,N/A,2011ApJ...738..162S
SDSS-II SN 20105              ,1060,N/A,SNIa,86640.02,N/A,2011ApJ...738..162S
SDSS J230248.35-005235.1      ,1050,N/A,SNIa,80973.94,149.9,2011ApJ...740...92G
SDSS-II SN 13675              ,1090,N/A,SNIa,88738.57,N/A,2011ApJ...738..162S
SDSS-II SN 08053              ,924,N/A,SNIa,73449.15,N/A,2011ApJ...738..162S
SDSS-II SN 21457              ,1160,N/A,SNIa,95933.59,N/A,2011ApJ...738..162S
SDSS-II SN 20397              ,1140,N/A,SNIa,93535.25,N/A,2011ApJ...738..162S
SDSS-II SN 19001              ,738,N/A,SNIa,56960.57,N/A,2011ApJ...738..162S
SDSS-II SN 14015              ,1180,N/A,SNIa,98331.93,N/A,2011ApJ...738..162S
UGC 11366                     ,207,N/A,Tully-Fisher,15788.87,29.98,2012ApJS..199...26H
SDSS J205934.81+011323.7      ,1020,N/A,SNIa,80973.94,149.9,2011ApJ...740...92G
SDSS-II SN 18450              ,914,N/A,SNIa,72549.77,N/A,2011ApJ...738..162S
SDSS-II SN 11092              ,305,N/A,SNIa,22184.64,N/A,2011ApJ...738..162S
SDSS-II SN 14821              ,521,N/A,SNIa,38973.02,N/A,2011ApJ...738..162S
SDSS-II SN 20744              ,861,N/A,SNIa,67753.1,N/A,2011ApJ...738..162S
SDSS-II SN 01243              ,731,N/A,SNIa,56360.98,N/A,2011ApJ...738..162S
SDSS-II SN 20491              ,813,N/A,SNIa,63556,N/A,2011ApJ...738..162S
SDSS-II SN 18948              ,963,N/A,SNIa,77046.66,N/A,2011ApJ...738..162S
SDSS-II SN 01390              ,106,N/A,SNIa,7494.81,N/A,2011ApJ...738..162S
SDSS-II SN 21663              ,176,N/A,SNIa,12591.28,N/A,2011ApJ...738..162S
SDSS-II SN 15101              ,642,N/A,SNIa,48866.17,N/A,2011ApJ...738..162S
SDSS-II SN 09052              ,692,N/A,SNIa,53063.27,N/A,2011ApJ...738..162S
SDSS-II SN 14567              ,891,N/A,SNIa,70451.23,N/A,2011ApJ...738..162S
SDSS-II SN 18893              ,748,N/A,SNIa,57859.94,N/A,2011ApJ...738..162S
SDSS-II SN 01823              ,813,N/A,SNIa,63556,N/A,2011ApJ...738..162S
SDSS-II SN 05781              ,663,N/A,SNIa,50664.93,N/A,2011ApJ...738..162S
