H0 [km s-1 Mpc-1],errors (+),errors (-),Date,Type,Source  (Date = preprint or pub or appearance at conference)
72,7,-7,2004.55,AK,"Freedman, W. \& Turner, M. 2004, in {\it Measuring and Modeling the Universe}, pg. 79. The Carnegie Observatories Centennial  Symposia (Cambridge: Cambridge)."
67,4,-4,2003.055,S,"Hoeflich, P., Gerardy, C., Linder, E. \& Marion, H. 2003, in {\it Stellar Candles}, eds. Gieren et al. Lecture Notes in Physics. astro-ph/0301334"
56,6,-6,1999.322,OS,"Tammann, G., Sandage, A. \& Reindl, B. 1999, in 19th Texas Symp., Astroph 9904360. Distance of Virgo"
68,5,-5,1998.37,A,"Nevalainen & Roos, M. 1998, Preprint. A&A in press. Astroph9805136"
74,5,-5,2006.25,S,"Ngeow, C. \& Kanbur, 2006, ApJL 642, L29. Astrop0603643."
77,7,-7,1999.52,F,"Tonry, J. \etal 1999, Astroph9907062, ApJ in press."
57,7,-7,1998.223,AS,"Tammann, G. 1999, IAU Symp 183 {\it Cosmological Parameters and the Evolution of the Universe}, K. Sato ed. p 31. Astroph9803255"
78,10,-10,1999.706,DK,"Kelson, D. \etal 2000, ApJ 529,768. astroph9909222. KP FP + Dn-sig"
73,8,-8,2002.389,LC,"Kochanek, C. 2002, ApJ in press. astro-ph 0205319. Constant M/L"
73,7,-7,2000.906,SK,"Gibson, B, \& Stetson, P. 2001, ApJL 547, L103. Ast0011478. NGC4527 SN1991T."
58,5,-5,1999.88,SS,"Tammann, G., Parodi, B \& Reindl, B. 2000, in IAU Coll. 176, Ast9911284."
73,4,-4,2001.128,H,"Watanabe, M., Yasuda, N. \& Itoh, N. 2001, ApJ in press.Ast0102260."
65,6,-6,2001.532,O,"Hendry, M., Rauzy, S., Goodwin, S. \& Gribbin, J. 2001, MNRAS 324, 717.  Sosies -- diameters+rotation curves"
92,5,-5,2000.354,O,"Willick, J. \& Batra, P. 2001, ApJ, 548, 564. Ast0005112. Phenom Flow model"
79,7,-7,1999.403,S,Jensen \etal   SBF Far field e-mail
72,12,-12,1998.2,TK,"Madore \etal 1998, ApJ in press Implications paper."
56,6,-4,2002.597,LC,"Courbin, F., Saha, P. \& Schechter, P. 2002, in ""Dark Matter \& Gravitational Lensing,"" eds. Courbin, Minniti) (Berlin: Springer-Verlag). astro-ph0208043. Assumes E-dS cosmo"
64,14,-11,2001.03,ZC,"Mason, B., Myers, S. \& Readhead, A. 2001, in press in Proc. 9th Marcel Grossman Mtg. (World scientific).  Ast0101170. (Standard CDM)"
61,13,-15,1998.9,L,"Romanowsky \& Kochanek 1998, Astroph9805080. Revised number 0957+561"
75,7,-6,2003.45,LC,"Koopmans, L., Treu, Y., Fassnacht, C, Blandford, R. \& Surpi, G. 2003, ApJ in press. astroph0306216. B1608+656"
80,8,-9,1997.09,SV,"vandenBergh, S. 1997, in {\it The Evolution of the Universe}, G. B\""orner \& S. Gottl\""ober, eds. (New York: Wiley) pg 35."
46,14,-11,1999.29,Z,"Saunders, R. \etal 1999, MNRAS in press. Astroph9904168 SZ on A773"
77,29,-24,1999.218,L,"Bernstein, G. \& Fischer, P. 1999, AJ 118, 14. Astroph9903274, 0957 model+cluster"
67,3,-3,1997.235,CI,"Bond, R. 1997, Irvine CMB Spectrum"
60,20,-15,1999.708,L,"Williams, L. \& Saha, P. 2000,in {\it Gravitational Lensing: Recent Progress and Future Goals}, T. Brainerd, J. Hewitt \& C. Kochanek eds. % Astroph9909248. Pixellated lenses"
89,10,-10,1997.659,F,"Lauer \etal 1998, ApJ 499, 577. Astroph9708252. Far field H0, clusters"
82,13,-13,1996.387,G,"Whitmore, B. 1997,  in CDS, Livio \etal eds (Cambridge: Cambridge) p7254"
59,12,-7,2002.918,LC,"Treu, T. \& Koopmans, L., 2002, MNRAS 337, L6. (PG1115+080)"
58,9,-9,1996.91,O,"Sofue \etal 191996, PASJ 48, 657 (CO TF relation)"
57,4,-4,1996.333,S,"Schaefer, B. 1996, AJ 111, 1668 SN1937C"
74,7,-7,1999.538,F,"Blakeslee, J \etal 1999 in Cosmic Flows workshop."
74,6,-6,2006.93,AK,"Macri, L. \etal 2006, ApJ 652, 1133.  NGC4258"
71,22,-19,2000.681,OC,"Durrer, R. \& Novosyadlyj, B. 2001, MNRAS 324, 560. Ast0009057, LSS++"
52,5,-4,1999.325,B,"Ekholm, T., Teerikorpi, P/, Theureau, G., Hanski, M., Paturel, G.,  Bottinelli, L. \& Gouguenheim, L. 1999, A\&A in press. Astroph9904372 B Band TF"
48,4,-4,2001.847,LC,"Gil-Merino, R., Wisotski, L. \& Wambsganss, J. 2001,A\&A in press. HE1104-1805 lens, poor time delay."
73,2,-2,2000.89,F,"Jensen, J., Tonry, J., Thompson, R., Ajhar, E., Lauer, T., Rieke, M., Postman, M., Liu, M., 2001, ApJ 550, 503. AST0011288. More Distant SBF"
58,4,-3,2003.728,ZC,"Sereno, M. 2003, A\&A 412, 341. astroph0309591"
77,4,-4,2001.954,LC,"Wucknitz, O. 2002, A New Era in Cosmology, ASP conf. ser. B0218+357  astro-ph/0112330"
73,8,-8,1997.04,TK,Madore \etal Fornax  BAAS 28 1420
47,6,-6,1998.113,CM,"Webster, A., Bridle, S., Hobson, M., Lasenby, A., Lahav, O. \& Rocha, G. 1998, ApJL 509, L65.    Astroph9802109 CMB Accoustic peak, Omega = 1 assumed"
